2020-08-07 23:54:48,618; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:48,643; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:48,672; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:48,678; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:48,696; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:48,714; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:48,771; NesterCommand; DEBUG; 99; createJoint ; createJoint
2020-08-07 23:54:48,848; NesterCommand; DEBUG; 153; getBoundingBoxExtent ; getBoundingBoxExtents
2020-08-07 23:54:48,876; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:48,918; NesterCommand; DEBUG; 99; createJoint ; createJoint
2020-08-07 23:54:48,998; NesterCommand; DEBUG; 153; getBoundingBoxExtent ; getBoundingBoxExtents
2020-08-07 23:54:49,031; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:49,075; NesterCommand; DEBUG; 99; createJoint ; createJoint
2020-08-07 23:54:49,138; NesterCommand; DEBUG; 153; getBoundingBoxExtent ; getBoundingBoxExtents
2020-08-07 23:54:49,187; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:49,232; NesterCommand; DEBUG; 99; createJoint ; createJoint
2020-08-07 23:54:49,294; NesterCommand; DEBUG; 153; getBoundingBoxExtent ; getBoundingBoxExtents
2020-08-07 23:54:50,455; Fusion360CommandBase; DEBUG; 354; notify ; CommandExecuteHandler.notify
2020-08-07 23:54:50,467; Fusion360CommandBase; DEBUG; 362; notify ; ***Debug ***command: cmdID_Nester executed successfully
2020-08-07 23:54:50,496; NesterCommand; DEBUG; 602; onExecute ; NesterCommand.onExecute
2020-08-07 23:54:50,508; NesterCommand; DEBUG; 34; getInputs ; getInputs
2020-08-07 23:54:50,514; NesterCommand; DEBUG; 21; getSelectedObjects ; getSelectedObjects
2020-08-07 23:54:50,531; NesterCommand; DEBUG; 21; getSelectedObjects ; getSelectedObjects
2020-08-07 23:54:50,543; NesterCommand; DEBUG; 323; addJointOrigin ; Nester.NestStock.addJointOrigin
2020-08-07 23:54:50,555; NesterCommand; DEBUG; 153; getBoundingBoxExtent ; getBoundingBoxExtents
2020-08-07 23:54:50,652; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:50,658; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:50,670; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:50,682; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:50,700; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:50,706; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:50,718; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:50,730; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:50,736; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:50,748; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
2020-08-07 23:54:50,780; Fusion360CommandBase; DEBUG; 309; notify ; DestroyHandler.notify
2020-08-07 23:54:50,786; Fusion360CommandBase; DEBUG; 321; notify ; ***Debug ***Command: cmdID_Nester destroyed
2020-08-07 23:54:50,792; Fusion360CommandBase; DEBUG; 322; notify ; ***Debug ***Reason for termination= 1
2020-08-07 23:54:50,810; NesterCommand; DEBUG; 532; onDestroy ; Nester.NesterCommend.onDestroy
2020-08-07 23:55:00,791; NESTER; DEBUG; 31; <module> ; ------------------------------start------------------------------
2020-08-07 23:55:00,803; Fusion360CommandBase; DEBUG; 112; __init__ ; Fusion360CommandBase.init
2020-08-07 23:55:00,815; Fusion360CommandBase; DEBUG; 145; onRun ; Fusion360CommandBase.onRun
2020-08-07 23:55:00,821; Fusion360CommandBase; DEBUG; 81; toolbarPanelById_in_Workspace ; toolbarPanelById_in_Workspace
2020-08-07 23:55:00,828; Fusion360CommandBase; DEBUG; 390; __init__ ; CommandCreatedEventHandler
